Numero_Inventario,Sito_Archeologico,Area_Scavo,Unita_Stratigrafica,Tipo_Forma,Impasto,Decorazione_Esterna,Decorazione_Interna,Tipo_Decorazione,Cronologia,Note,File_Immagine
1,Al-Khutm,1,301,Close,Medium fine ware,Sì,Sì,,,Area S-E ,2359_DSC01166 - Copia.png
2,Al-Khutm,1,301,Undeterminable,Fine ware,Sì,No,,,Area  1 (scarpa),2328_DSC01143.png
3,Al-Khutm,A,0,Open,Fine ware,Sì,No,Slipped,,"sector interior
Circonferenza:20
Fragmentary slipped red;
on the top of the edge one black line",5375_DSC01918 - DSC01921.png
4,Al-Khutm,A,0,Undeterminable,Medium fine ware,Sì,Sì,,,"sector inner area SU 0
Circonferenza: 20",5379_DSC02109 - DSC02110.png
5,Al-Khutm,A,0,Close,Medium fine ware,Sì,Sì,,,"sector inner area SU 0
Circonferenza: 18",5382_DSC02104 - DSC02105.png
6,Al-Khutm,A,0,Undeterminable,Fine ware,Sì,Sì,,,"sector inner area SU 0
two parallel black lines",5385_DSC02102.png
7,Al-Khutm,A,0,Undeterminable,Fine ware,Sì,Sì,,,"sector inner area SU 0
on the right side: four entire lines and one little fragmentary black line;
on the left side: decoration with irregular triangle",5386_DSC02108.png
8,Al-Khutm,A,0,Open,Fine ware,Sì,Sì,,,"sector inner area SU 0
Circonferenza:6
ribbed rim fragment
(cordone con scanalatura)",5656_KTM1_008 (1).JPG.png
9,Al-Khutm,A,0,Open,Fine ware,Sì,Sì,,,"sector inner area SU 0;
Specific form. undeterminable
Fire Clay",5390_DSC02111.png
11,Al-Khutm,A,0,Open,Fine ware,Sì,Sì,,,"sector inner area 
form undeterminable
Circonferenza ricavata al centro: 8,5
black line on the top",5395_DSC02099.png
12,Al-Khutm,A,0,Open,Medium fine ware,Sì,No,,,"sector inner area
Circonferenza: 18",5396_DSC02094 - DSC02096.png
13,Al-Khutm,A,0,Open,Medium fine ware,No,Sì,Slipped,,"sector inner area 
Circonferenza:38
Slipped Red",5399_DSC01895 - DSC01896 - DSC01897.png
14,Al-Khutm,A,0,Open,Fine ware,Sì,Sì,,,"sector inner area
Circonferenza: 8
two fragmentary curved lines on the inner surface and two parallel black lines on the outer surface",5657_DSC01891.JPG.png
15,Al-Khutm,A,0,Undeterminable,Medium coarse ware,Sì,Sì,Slipped,,"sector inner area; 
probably no wheel made;
Circonferenza:25
slipped red inner surface",5407_KTM1_015 (1).png
16,Al-Khutm,A,0,Open,Medium fine ware,Sì,Sì,,,"inner area_Side North;
form undeterminable
buff treatment on the inner surface and two parallel black lines on the outer surface",5410_DSC02117.png
17,Al-Khutm,A,0,Close,Medium fine ware,Sì,Sì,,,"inner area_Side
Circonferenza: 18",5411_DSC02118 - DSC02120.png
18,Al-Khutm,A,0,Close,Medium fine ware,Sì,Sì,,,"inner area_Side North
Circonferenza: 20
Splipped Red",5414_DSC02122.png
19,Al-Khutm,A,0,Open,Medium fine ware,Sì,Sì,Incised,,"inner area_Side North
Incised cord on surface",5417_DSC02112 - DSC02115.png
23,Al-Khutm,1,301,Undeterminable,Fine ware,Sì,Sì,Slipped,,no ,2370_DSC01155.png
